#first line: Z and A for the parent nucleus
# second line :(average neutron emission number)  (following lines X for this parent nucleus)  (average Q value for this fission in MeV)
#from third line:
#X lines  and each of which : daughter nucleus A and Z, Probability before neutron emission(you probably don't need), final Probability for this daughter nucleus to occur.
         98     254
                          4.487780000000001	532	217.32506
145   56       1.715999           2.088999
145   57       0.049000           1.450000
145   58       0.000000           0.164000
145   59       0.000000           0.003000
146   54       0.038000           0.000000
146   55       1.245999           0.077000
146   56       2.787998           1.313000
146   57       0.233000           1.992999
146   58       0.001000           0.492000
146   59       0.000000           0.013000
147   54       0.007000           0.000000
147   55       0.463000           0.014000
147   56       2.776998           0.503000
147   57       0.857999           2.134999
147   58       0.013000           1.012000
147   59       0.000000           0.055000
147   60       0.000000           0.001000
148   55       0.099000           0.004000
148   56       2.064999           0.169000
148   57       1.613999           1.459000
148   58       0.073000           1.739999
148   59       0.000000           0.209000
148   60       0.000000           0.008000
149   55       0.019000           0.000000
149   56       0.909999           0.026000
149   57       2.487998           0.848000
149   58       0.320000           1.731999
149   59       0.001000           0.519000
149   60       0.000000           0.028000
150   55       0.002000           0.000000
150   56       0.315000           0.006000
150   57       2.030998           0.301000
150   58       0.999999           1.569999
150   59       0.018000           1.026000
150   60       0.000000           0.136000
150   61       0.000000           0.001000
151   56       0.050000           0.001000
151   57       1.363999           0.086000
151   58       1.605999           0.929000
151   59       0.097000           1.321000
151   60       0.000000           0.389000
151   61       0.000000           0.012000
152   56       0.006000           0.000000
152   57       0.527000           0.012000
152   58       2.159998           0.425000
152   59       0.373000           1.315000
152   60       0.007000           0.739000
152   61       0.000000           0.041000
153   56       0.001000           0.000000
153   57       0.157000           0.002000
153   58       1.625999           0.123000
153   59       0.896999           0.879000
153   60       0.022000           1.017000
153   61       0.000000           0.153000
153   62       0.000000           0.004000
154   57       0.020000           0.000000
154   58       1.035999           0.026000
154   59       1.289999           0.440000
154   60       0.123000           1.066000
154   61       0.001000           0.325000
154   62       0.000000           0.021000
155   57       0.002000           0.000000
155   58       0.321000           0.004000
155   59       1.630999           0.188000
155   60       0.399000           0.789000
155   61       0.008000           0.575000
155   62       0.000000           0.074000
156   58       0.103000           0.000000
156   59       0.982999           0.039000
156   60       0.891999           0.481000
156   61       0.033000           0.645000
156   62       0.000000           0.175000
156   63       0.000000           0.001000
157   58       0.009000           0.000000
157   59       0.561000           0.005000
157   60       1.165999           0.176000
157   61       0.136000           0.558000
157   62       0.003000           0.319000
157   63       0.000000           0.015000
158   58       0.001000           0.000000
158   59       0.123000           0.000000
158   60       1.219999           0.061000
158   61       0.327000           0.385000
158   62       0.014000           0.370000
158   63       0.000000           0.049000
158   64       0.000000           0.001000
159   58       0.001000           0.000000
159   59       0.036000           0.000000
159   60       0.672000           0.012000
159   61       0.605000           0.183000
159   62       0.029000           0.388000
159   63       0.000000           0.086000
159   64       0.000000           0.004000
160   59       0.002000           0.000000
160   60       0.325000           0.006000
160   61       0.767999           0.079000
160   62       0.126000           0.286000
160   63       0.001000           0.157000
160   64       0.000000           0.012000
161   60       0.069000           0.000000
161   61       0.651000           0.012000
161   62       0.265000           0.168000
161   63       0.005000           0.199000
161   64       0.000000           0.036000
162   60       0.013000           0.000000
162   61       0.312000           0.001000
162   62       0.473000           0.074000
162   63       0.023000           0.159000
162   64       0.000000           0.092000
162   65       0.000000           0.002000
163   60       0.001000           0.000000
163   61       0.112000           0.001000
163   62       0.463000           0.017000
163   63       0.095000           0.096000
163   64       0.000000           0.088000
163   65       0.000000           0.004000
164   61       0.015000           0.000000
164   62       0.370000           0.003000
164   63       0.155000           0.044000
164   64       0.008000           0.100000
164   65       0.000000           0.012000
164   66       0.000000           0.001000
165   61       0.002000           0.000000
165   62       0.124000           0.001000
165   63       0.244000           0.018000
165   64       0.027000           0.056000
165   65       0.000000           0.027000
165   66       0.000000           0.001000
166   61       0.001000           0.000000
166   62       0.028000           0.000000
166   63       0.172000           0.001000
166   64       0.069000           0.020000
166   65       0.001000           0.033000
166   66       0.000000           0.005000
167   62       0.004000           0.000000
167   63       0.103000           0.002000
167   64       0.107000           0.009000
167   65       0.003000           0.024000
167   66       0.000000           0.005000
168   62       0.001000           0.000000
168   63       0.023000           0.000000
168   64       0.115000           0.003000
168   65       0.008000           0.011000
168   66       0.000000           0.010000
169   63       0.006000           0.000000
169   64       0.063000           0.000000
169   65       0.022000           0.004000
169   66       0.001000           0.011000
169   67       0.000000           0.001000
170   64       0.024000           0.000000
170   65       0.031000           0.002000
170   66       0.004000           0.003000
171   64       0.008000           0.000000
171   65       0.042000           0.000000
171   66       0.007000           0.002000
171   67       0.000000           0.002000
172   65       0.007000           0.000000
172   66       0.012000           0.003000
172   67       0.000000           0.001000
173   65       0.005000           0.000000
173   66       0.007000           0.000000
173   67       0.000000           0.001000
174   66       0.007000           0.000000
174   67       0.003000           0.000000
175   66       0.002000           0.000000
175   67       0.001000           0.000000
175   68       0.000000           0.001000
176   66       0.001000           0.000000
176   67       0.001000           0.000000
177   69       0.000000           0.001000
178   68       0.001000           0.000000
180   69       0.000000           0.001000
181   69       0.001000           0.000000
181   70       0.000000           0.001000
183   69       0.001000           0.000000
183   70       0.001000           0.000000
