# Data source: Evaluated Nuclear Data File library (ENDF/B-VII.1; Chadwick et al. 2011)
# Nuclide selection originally from Hotokezaka et al. https://github.com/hotokezaka/HeatingRate
#
# Q, E_gamma, E_elec and meanlife are taken from the ENDF/B-VII.1 decay sublibrary, MF=8/MT=457.
# Q is the branching-ratio-weighted sum of the mode Q values, so it covers every decay branch of
# the nuclide including the beta-delayed neutron ones. E_gamma and E_elec are the tabulated
# average decay energies EEM (all electromagnetic radiation: gamma rays and X-rays) and ELP (all
# light particles: continuum betas plus conversion and Auger electrons), both averaged over one
# decay of the parent summed over its branches. They are not the averages of the tabulated
# spectra, which omit the X-ray and discrete-electron components and are absent altogether for
# the nuclides that ENDF evaluates from systematics.
# E_neutrino is the balance Q - EEM - ELP - EHP and is not read by ARTIS.
# One deviation from ENDF: Ta-188 uses the ENSDF half-life of 19.6(20) s rather than the 20 s
# ENDF rounds it to. ENDF assigns its parent Hf-188, which has no adopted ENSDF half-life, the
# same estimated 20 s, and two nuclides of one decay chain sharing a decay constant makes the
# Bateman solution singular.
# For a nuclide that alphadecays.txt gives a beta-minus branching ratio below one, E_elec is
# instead the average of the beta continuum alone, because the reader divides this column by that
# branching ratio and the discrete electrons of ELP are summed over all branches.
#
# A, Z, Q[MeV], E_gamma[MeV], E_elec[MeV], E_neutrino[MeV], meanlife[s]
103 39 8.98007 1.53378 3.40705 3.99572 0.33182
103 40 7.19871 1.45543 2.59484 3.14843 1.8755
103 41 5.94663 1.66174 1.88118 2.40371 2.16404
103 42 3.63 0.980562 1.17499 1.47445 97.3819
103 43 2.662 0.248448 0.980992 1.43256 78.1941
103 44 0.724111 0.495774 0.0664588 0.161878 4.89209e+06
104 39 11.3681 3.18752 3.77893 4.38315 0.259685
104 40 6.09456 1.26665 2.14991 2.67798 1.73123
104 41 8.52617 3.05793 2.45744 3.01073 7.06921
104 42 2.15 0.172637 0.846712 1.13065 86.5617
104 43 5.58 3.229 0.931 1.42 1584.08
105 40 8.43163 1.02785 3.40552 3.99806 0.865617
105 41 7.35034 2.13487 2.33147 2.88089 4.25595
105 42 4.95 2.407 1.049 1.494 51.3599
105 43 3.64 1.825 0.764 1.051 657.869
105 44 1.88222 0.737986 0.414167 0.730066 23060
105 45 0.5671 0.0778816 0.153707 0.335512 183649
106 40 7.13713 1.05715 2.75585 3.32244 0.389528
106 41 9.63712 2.8409 3.09656 3.68639 1.34171
106 42 3.62958 0.51562 1.31698 1.79698 12.5947
106 43 6.547 3.132 1.457 1.958 51.3599
106 44 0.0394 0 0.01003 0.02937 4.63444e+07
106 45 3.545 0.206072 1.41343 1.9255 43.3818
107 40 9.36454 2.75953 3.01126 3.58941 0.216404
107 41 8.57363 2.59753 2.69326 3.26305 0.432809
107 42 6.18516 0.387476 2.61487 3.18281 5.04943
107 43 4.82 1.822 1.263 1.735 30.5851
107 44 2.94 0.345312 1.06488 1.52981 324.606
107 45 1.504 0.313238 0.436705 0.754057 1878.39
107 46 0.035 0 0.00987 0.02513 2.95931e+14
108 41 10.8123 4.68045 2.76657 3.3391 0.27844
108 42 5.15353 0.581414 2.01603 2.55609 1.57254
108 43 7.73857 2.81483 2.18539 2.73835 7.45873
108 44 1.374 0.0616122 0.483912 0.828475 393.856
108 45 4.55 0.317099 1.84391 2.38899 24.2373
109 40 10.2959 3.1402 3.27097 3.86235 0.168795
109 41 8.65789 2.21211 2.85908 3.43717 0.274112
109 42 7.60335 2.29835 2.3758 2.92921 0.764628
109 43 6.45151 0.632099 2.61915 3.20012 1.24072
109 44 4.16 1.66457 1.04558 1.44985 49.773
109 45 2.593 0.298337 0.961414 1.33325 115.416
109 46 1.0279 0.000644529 0.360794 0.666462 71160
110 41 11.0931 4.46624 2.96825 3.55076 0.245258
110 42 5.906 0.246822 2.3996 3.25958 0.432809
110 43 9.03565 3.04806 2.70304 3.28448 1.32728
110 44 2.811 0.034717 1.15724 1.61904 16.7353
110 45 5.505 0.325306 2.11792 3.06178 4.61662
111 42 8.95459 3.05388 2.66395 3.23665 0.288539
111 43 7.71999 1.16103 2.97989 3.5761 0.418382
